Well,MOPS[mM],Tricine[mM],H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],CaCl2[mM]
A1,40.0,4.0,0.033484582316849,157.76052233139728,0.9641229242015188,6.992957793685002,0.0678915261254304,23.233055710471923,1.9320099121279728,1313.3775792368604,0.0001081707220027,0.00272521079906,0.0047854026706836,0.0073945323923616,0.0017524072893529,0.0359678046440263
B1,40.0,4.0,0.033484582316849,157.76052233139728,0.9641229242015188,6.992957793685002,0.0678915261254304,23.233055710471923,1.9320099121279728,1313.3775792368604,0.0001081707220027,0.00272521079906,0.0047854026706836,0.0073945323923616,0.0017524072893529,0.0359678046440263
C1,40.0,4.0,0.033484582316849,157.76052233139728,0.9641229242015188,6.992957793685002,0.0678915261254304,23.233055710471923,1.9320099121279728,1313.3775792368604,0.0001081707220027,0.00272521079906,0.0047854026706836,0.0073945323923616,0.0017524072893529,0.0359678046440263
D1,40.0,4.0,0.0739643746736721,197.00103126041216,0.8057184504336299,8.730540583039522,0.0249963532666715,34.48089964276074,1.2872418049340932,959.3793667207192,0.0002954353079755,0.0015689965363429,0.0058726446517442,0.0135671615159546,0.000728177619237,0.016770075437985
E1,40.0,4.0,0.0739643746736721,197.00103126041216,0.8057184504336299,8.730540583039522,0.0249963532666715,34.48089964276074,1.2872418049340932,959.3793667207192,0.0002954353079755,0.0015689965363429,0.0058726446517442,0.0135671615159546,0.000728177619237,0.016770075437985
F1,40.0,4.0,0.0739643746736721,197.00103126041216,0.8057184504336299,8.730540583039522,0.0249963532666715,34.48089964276074,1.2872418049340932,959.3793667207192,0.0002954353079755,0.0015689965363429,0.0058726446517442,0.0135671615159546,0.000728177619237,0.016770075437985
A2,40.0,4.0,0.0055164269336694,101.44238267647457,0.6351962554653036,10.01842099075195,0.0773010531893728,7.171801816322577,0.7393222463150174,483.3538867756106,0.0002039542679194,0.0043843668446837,0.0010317424127618,0.0042605283460591,0.0005711989794081,0.0201920499718687
B2,40.0,4.0,0.0055164269336694,101.44238267647457,0.6351962554653036,10.01842099075195,0.0773010531893728,7.171801816322577,0.7393222463150174,483.3538867756106,0.0002039542679194,0.0043843668446837,0.0010317424127618,0.0042605283460591,0.0005711989794081,0.0201920499718687
C2,40.0,4.0,0.0055164269336694,101.44238267647457,0.6351962554653036,10.01842099075195,0.0773010531893728,7.171801816322577,0.7393222463150174,483.3538867756106,0.0002039542679194,0.0043843668446837,0.0010317424127618,0.0042605283460591,0.0005711989794081,0.0201920499718687
D2,40.0,4.0,0.0610792139421591,44.18789100244082,0.408155134617026,2.982335630280337,0.088319615585378,32.02822244004238,0.9986626800179894,1609.8261676586428,0.0001717783298863,0.0035309544705841,0.0019173685742036,0.0013448351726186,1.0654754166045814e-05,0.046568300289822
E2,40.0,4.0,0.0610792139421591,44.18789100244082,0.408155134617026,2.982335630280337,0.088319615585378,32.02822244004238,0.9986626800179894,1609.8261676586428,0.0001717783298863,0.0035309544705841,0.0019173685742036,0.0013448351726186,1.0654754166045814e-05,0.046568300289822
F2,40.0,4.0,0.0610792139421591,44.18789100244082,0.408155134617026,2.982335630280337,0.088319615585378,32.02822244004238,0.9986626800179894,1609.8261676586428,0.0001717783298863,0.0035309544705841,0.0019173685742036,0.0013448351726186,1.0654754166045814e-05,0.046568300289822
A3,40.0,4.0,0.0179809679734787,77.852754536866,0.4484814669270217,4.3115102114691854,0.0168216365107317,45.66400600999666,1.4149158670705286,242.4761890638175,0.0005517765708085,0.0035019625250144,0.0031745708319492,0.0101138329747603,0.0018980313385946,0.0026127930864663
B3,40.0,4.0,0.0179809679734787,77.852754536866,0.4484814669270217,4.3115102114691854,0.0168216365107317,45.66400600999666,1.4149158670705286,242.4761890638175,0.0005517765708085,0.0035019625250144,0.0031745708319492,0.0101138329747603,0.0018980313385946,0.0026127930864663
C3,40.0,4.0,0.0179809679734787,77.852754536866,0.4484814669270217,4.3115102114691854,0.0168216365107317,45.66400600999666,1.4149158670705286,242.4761890638175,0.0005517765708085,0.0035019625250144,0.0031745708319492,0.0101138329747603,0.0018980313385946,0.0026127930864663
D3,40.0,4.0,0.04219577968264,86.84456820642176,0.1520448136881234,11.989767390407,0.0389283160979048,23.71463425630381,2.20286042531596,1955.551814965588,0.0005350210308005,7.394905755157011e-05,0.0052211029478558,0.0086967645169707,0.0011670325537155,0.0451285229395618
E3,40.0,4.0,0.04219577968264,86.84456820642176,0.1520448136881234,11.989767390407,0.0389283160979048,23.71463425630381,2.20286042531596,1955.551814965588,0.0005350210308005,7.394905755157011e-05,0.0052211029478558,0.0086967645169707,0.0011670325537155,0.0451285229395618
