Well,H3BO3[mM],Glucose[mM],K2SO4[mM],K2HPO4[mM],FeSO4[mM],NH4Cl[mM],MgCl2[mM],NaCl[mM],(NH4)6Mo7O24[mM],CoCl2[mM],CuSO4[mM],MnSO4[mM],ZnSO4[mM],CaCl2[mM],Label,OD340_pred,OD340_std
A1,0.03348458231684908,157.76052233139728,0.9641229242015189,6.992957793685002,0.06789152612543048,23.233055710471923,1.9320099121279732,1313.3775792368604,0.0001081707220027116,0.0027252107990600356,0.004785402670683687,0.007394532392361663,0.0017524072893529545,0.03596780464402633,LHS,0.566116740772062,0.09427694616435729
B1,0.03348458231684908,157.76052233139728,0.9641229242015189,6.992957793685002,0.06789152612543048,23.233055710471923,1.9320099121279732,1313.3775792368604,0.0001081707220027116,0.0027252107990600356,0.004785402670683687,0.007394532392361663,0.0017524072893529545,0.03596780464402633,LHS,0.566116740772062,0.09427694616435729
C1,0.03348458231684908,157.76052233139728,0.9641229242015189,6.992957793685002,0.06789152612543048,23.233055710471923,1.9320099121279732,1313.3775792368604,0.0001081707220027116,0.0027252107990600356,0.004785402670683687,0.007394532392361663,0.0017524072893529545,0.03596780464402633,LHS,0.566116740772062,0.09427694616435729
D1,0.0739643746736721,197.00103126041216,0.8057184504336299,8.730540583039522,0.024996353266671514,34.48089964276074,1.2872418049340932,959.3793667207191,0.0002954353079755617,0.0015689965363429286,0.005872644651744242,0.01356716151595468,0.0007281776192370369,0.016770075437985053,LHS,0.5909087650290108,0.09705749426659212
E1,0.0739643746736721,197.00103126041216,0.8057184504336299,8.730540583039522,0.024996353266671514,34.48089964276074,1.2872418049340932,959.3793667207191,0.0002954353079755617,0.0015689965363429286,0.005872644651744242,0.01356716151595468,0.0007281776192370369,0.016770075437985053,LHS,0.5909087650290108,0.09705749426659212
F1,0.0739643746736721,197.00103126041216,0.8057184504336299,8.730540583039522,0.024996353266671514,34.48089964276074,1.2872418049340932,959.3793667207191,0.0002954353079755617,0.0015689965363429286,0.005872644651744242,0.01356716151595468,0.0007281776192370369,0.016770075437985053,LHS,0.5909087650290108,0.09705749426659212
A2,0.005516426933669416,101.44238267647457,0.6351962554653036,10.01842099075195,0.07730105318937285,7.171801816322577,0.7393222463150174,483.3538867756106,0.00020395426791946302,0.004384366844683755,0.0010317424127618004,0.004260528346059135,0.0005711989794081232,0.020192049971868707,LHS,0.5203403697573266,0.07337458036741516
B2,0.005516426933669416,101.44238267647457,0.6351962554653036,10.01842099075195,0.07730105318937285,7.171801816322577,0.7393222463150174,483.3538867756106,0.00020395426791946302,0.004384366844683755,0.0010317424127618004,0.004260528346059135,0.0005711989794081232,0.020192049971868707,LHS,0.5203403697573266,0.07337458036741516
C2,0.005516426933669416,101.44238267647457,0.6351962554653036,10.01842099075195,0.07730105318937285,7.171801816322577,0.7393222463150174,483.3538867756106,0.00020395426791946302,0.004384366844683755,0.0010317424127618004,0.004260528346059135,0.0005711989794081232,0.020192049971868707,LHS,0.5203403697573266,0.07337458036741516
D2,0.061079213942159136,44.18789100244082,0.408155134617026,2.982335630280337,0.08831961558537808,32.02822244004238,0.9986626800179894,1609.8261676586428,0.0001717783298863427,0.003530954470584118,0.0019173685742036003,0.0013448351726186158,1.0654754166045814e-05,0.04656830028982205,LHS,0.5155045683164053,0.07449310832480224
E2,0.061079213942159136,44.18789100244082,0.408155134617026,2.982335630280337,0.08831961558537808,32.02822244004238,0.9986626800179894,1609.8261676586428,0.0001717783298863427,0.003530954470584118,0.0019173685742036003,0.0013448351726186158,1.0654754166045814e-05,0.04656830028982205,LHS,0.5155045683164053,0.07449310832480224
F2,0.061079213942159136,44.18789100244082,0.408155134617026,2.982335630280337,0.08831961558537808,32.02822244004238,0.9986626800179894,1609.8261676586428,0.0001717783298863427,0.003530954470584118,0.0019173685742036003,0.0013448351726186158,1.0654754166045814e-05,0.04656830028982205,LHS,0.5155045683164053,0.07449310832480224
A3,0.017980967973478736,77.852754536866,0.44848146692702173,4.3115102114691854,0.016821636510731784,45.66400600999666,1.4149158670705286,242.4761890638175,0.000551776570808554,0.0035019625250144273,0.003174570831949234,0.010113832974760375,0.00189803133859461,0.0026127930864663284,LHS,0.4458098009422453,0.06802366585536553
B3,0.017980967973478736,77.852754536866,0.44848146692702173,4.3115102114691854,0.016821636510731784,45.66400600999666,1.4149158670705286,242.4761890638175,0.000551776570808554,0.0035019625250144273,0.003174570831949234,0.010113832974760375,0.00189803133859461,0.0026127930864663284,LHS,0.4458098009422453,0.06802366585536553
C3,0.017980967973478736,77.852754536866,0.44848146692702173,4.3115102114691854,0.016821636510731784,45.66400600999666,1.4149158670705286,242.4761890638175,0.000551776570808554,0.0035019625250144273,0.003174570831949234,0.010113832974760375,0.00189803133859461,0.0026127930864663284,LHS,0.4458098009422453,0.06802366585536553
D3,0.042195779682640024,86.84456820642176,0.15204481368812345,11.989767390407,0.0389283160979048,23.71463425630381,2.20286042531596,1955.5518149655882,0.0005350210308005349,7.394905755157011e-05,0.0052211029478558164,0.008696764516970722,0.0011670325537155113,0.04512852293956188,LHS,0.604591372103169,0.09192988082100018
E3,0.042195779682640024,86.84456820642176,0.15204481368812345,11.989767390407,0.0389283160979048,23.71463425630381,2.20286042531596,1955.5518149655882,0.0005350210308005349,7.394905755157011e-05,0.0052211029478558164,0.008696764516970722,0.0011670325537155113,0.04512852293956188,LHS,0.604591372103169,0.09192988082100018
F3,0.042195779682640024,86.84456820642176,0.15204481368812345,11.989767390407,0.0389283160979048,23.71463425630381,2.20286042531596,1955.5518149655882,0.0005350210308005349,7.394905755157011e-05,0.0052211029478558164,0.008696764516970722,0.0011670325537155113,0.04512852293956188,LHS,0.604591372103169,0.09192988082100018
A4,0.033831729417643515,59.015584301068166,0.8813284822228004,4.84698131667521,0.028191684081757352,28.94157410161604,0.4744035304186097,2299.892200122874,7.13237028125606e-05,0.0057279197376001135,0.0020464068675028523,0.011681173632762243,0.0015049642874183436,0.04165883446153327,LHS,0.5264228467147896,0.0868827133232794
B4,0.033831729417643515,59.015584301068166,0.8813284822228004,4.84698131667521,0.028191684081757352,28.94157410161604,0.4744035304186097,2299.892200122874,7.13237028125606e-05,0.0057279197376001135,0.0020464068675028523,0.011681173632762243,0.0015049642874183436,0.04165883446153327,LHS,0.5264228467147896,0.0868827133232794
C4,0.033831729417643515,59.015584301068166,0.8813284822228004,4.84698131667521,0.028191684081757352,28.94157410161604,0.4744035304186097,2299.892200122874,7.13237028125606e-05,0.0057279197376001135,0.0020464068675028523,0.011681173632762243,0.0015049642874183436,0.04165883446153327,LHS,0.5264228467147896,0.0868827133232794
D4,0.012423719045625687,181.87635494414934,0.2414309137387016,1.6566424014879424,0.059311802506688084,19.73484857982674,0.3568757669384156,663.0595554007729,1.1413264118986138e-05,0.0014372689598380693,0.0036792026486488307,0.003564207616759781,0.0012205385371770732,0.027068192027715248,LHS,0.552825001857081,0.08730540936797754
E4,0.012423719045625687,181.87635494414934,0.2414309137387016,1.6566424014879424,0.059311802506688084,19.73484857982674,0.3568757669384156,663.0595554007729,1.1413264118986138e-05,0.0014372689598380693,0.0036792026486488307,0.003564207616759781,0.0012205385371770732,0.027068192027715248,LHS,0.552825001857081,0.08730540936797754
F4,0.012423719045625687,181.87635494414934,0.2414309137387016,1.6566424014879424,0.059311802506688084,19.73484857982674,0.3568757669384156,663.0595554007729,1.1413264118986138e-05,0.0014372689598380693,0.0036792026486488307,0.003564207616759781,0.0012205385371770732,0.027068192027715248,LHS,0.552825001857081,0.08730540936797754
A5,0.04894454294301037,20.311279240391023,0.5300026612537103,9.252165526255723,0.04510736398816027,12.286710189665406,2.4489713569963696,1744.298800264935,0.00041188377512168194,0.002197697924920682,0.0028081174675598838,0.012727738040752078,0.0002782796905961618,0.012129558857139034,LHS,0.5218212238307214,0.07524965146966894
B5,0.04894454294301037,20.311279240391023,0.5300026612537103,9.252165526255723,0.04510736398816027,12.286710189665406,2.4489713569963696,1744.298800264935,0.00041188377512168194,0.002197697924920682,0.0028081174675598838,0.012727738040752078,0.0002782796905961618,0.012129558857139034,LHS,0.5218212238307214,0.07524965146966894
C5,0.04894454294301037,20.311279240391023,0.5300026612537103,9.252165526255723,0.04510736398816027,12.286710189665406,2.4489713569963696,1744.298800264935,0.00041188377512168194,0.002197697924920682,0.0028081174675598838,0.012727738040752078,0.0002782796905961618,0.012129558857139034,LHS,0.5218212238307214,0.07524965146966894
