Well,MOPS,Tricine,H3BO3,Glucose,K2SO4,K2HPO4,FeSO4,NH4Cl,MgCl2,NaCl,(NH4)6Mo7O24,CoCl2,CuSO4,MnSO4,ZnSO4
A1,40.0,4.0,0.0308513231592399,20.0,0.19382305682374,2.968560135290596,0.0621512064118748,13.770459192022086,2.1582439480914,327.43488812306583,0.0001263399838945,0.0020485955236234,0.0007671986932577,0.0006246030375982,0.0005417502345241
B1,40.0,4.0,0.0308513231592399,20.0,0.19382305682374,2.968560135290596,0.0621512064118748,13.770459192022086,2.1582439480914,327.43488812306583,0.0001263399838945,0.0020485955236234,0.0007671986932577,0.0006246030375982,0.0005417502345241
C1,40.0,4.0,0.0308513231592399,20.0,0.19382305682374,2.968560135290596,0.0621512064118748,13.770459192022086,2.1582439480914,327.43488812306583,0.0001263399838945,0.0020485955236234,0.0007671986932577,0.0006246030375982,0.0005417502345241
D1,40.0,4.0,0.0266180085584957,20.0,0.1787293620716725,5.271785815285515,0.0465874670652296,10.728408315567435,2.566784847915358,338.1430394973065,0.0001056975597779,0.0012543309455727,0.0007507351841143,0.0023406188124056,0.0007753704338749
E1,40.0,4.0,0.0266180085584957,20.0,0.1787293620716725,5.271785815285515,0.0465874670652296,10.728408315567435,2.566784847915358,338.1430394973065,0.0001056975597779,0.0012543309455727,0.0007507351841143,0.0023406188124056,0.0007753704338749
F1,40.0,4.0,0.0266180085584957,20.0,0.1787293620716725,5.271785815285515,0.0465874670652296,10.728408315567435,2.566784847915358,338.1430394973065,0.0001056975597779,0.0012543309455727,0.0007507351841143,0.0023406188124056,0.0007753704338749
A2,40.0,4.0,0.0158216344908109,20.0,0.1874972468916181,5.687715756486509,0.0483382921884575,10.359198216318664,2.3268658741796453,394.3696164605126,0.0002254549678789,0.0012115082756917,0.0005884728282908,0.003088353229238,0.0006996368422985
B2,40.0,4.0,0.0158216344908109,20.0,0.1874972468916181,5.687715756486509,0.0483382921884575,10.359198216318664,2.3268658741796453,394.3696164605126,0.0002254549678789,0.0012115082756917,0.0005884728282908,0.003088353229238,0.0006996368422985
C2,40.0,4.0,0.0158216344908109,20.0,0.1874972468916181,5.687715756486509,0.0483382921884575,10.359198216318664,2.3268658741796453,394.3696164605126,0.0002254549678789,0.0012115082756917,0.0005884728282908,0.003088353229238,0.0006996368422985
D2,40.0,4.0,0.0112391857109912,20.0,0.2093055212785868,4.4212514704417325,0.0522444555995235,12.906591527400764,3.997307997268235,471.1493138903473,0.0001731461072977,0.0017053981890536,0.0009591924988975,0.0023277922123703,0.0009422102969761
